OPE ID,School,ADDR,City,State,Zip Code,SchoolType,loans,grants,total,DL.Subsidized.Recipients,DL.Subsidized.# of Loans Originated,DL.Subsidized.$ of Loans Originated,DL.Subsidized.# of Disbursements,subudis,DL.Unsubsidized.Undergrad.Recipients,DL.Unsubsidized.Undergrad.# of Loans Originated,DL.Unsubsidized.Undergrad.$ of Loans Originated,DL.Unsubsidized.Undergrad.# of Disbursements,unsubudis,DL.Unsubsidized.Graduate.Recipients,DL.Unsubsidized.Graduate.# of Loans Originated,DL.Unsubsidized.Graduate.$ of Loans Originated,DL.Unsubsidized.Graduate.# of Disbursements,DL.Unsubsidized.Graduate.$ of Disbursements,DL.Parent.Plus.Recipients,DL.Parent.Plus.# of Loans Originated,DL.Parent.Plus.$ of Loans Originated,DL.Parent.Plus.# of Disbursements,DL.Parent.Plus.$ of Disbursements,DL.Grad.Plus.Recipients,DL.Grad.Plus.# of Loans Originated,DL.Grad.Plus.$ of Loans Originated,DL.Grad.Plus.# of Disbursements,DL.Grad.Plus.$ of Disbursements,Pell.Grant.Program.YTD Recipients,Pell.Grant.Program.YTD Disbursements,TEACH.Program.YTD Recipients,TEACH.Program.YTD Disbursements,Iraq.Afghanistan.Service.Grant.Program.YTD Recipients,Iraq.Afghanistan.Service.Grant.Program.YTD Disbursements,PBM LEN,SCH TYPE,YR 1,NBD 1,NBR 1,DRATE1,PRATE 1,YR 2,NBD 2,NBR 2,DRATE 2,PRATE 2,FFEL DEF,FFEL REP,FDSLP DEF,FDSLP REP,ETNC CODE,PROGRAM,CON DIS,REGION,AVGOR GE30
380500,Yakima Valley Community College,16th Avenue & Nob Hill Boulevard,Yakima,WA,989072520,Public,7415716,11210696,18626412,1287,1289,4078390,2905,4045081,969,972,3420105,2256,3370635,,,,0,,,,,0,,,,,0,,3366,11210696,,,,,5,1,2010,116,647,17.9,A,2009,141,692,20.3,A,116,647,0,0,3,D,4,10,0
499900,Bellingham Technical College,3028 Lindbergh Avenue,Bellingham,WA,982251599,Public,5697351,,5697351,909,913,2403113,2148,2391700,850,853,3323093,1980,3305651,,,,0,,1,1,4000,1,4000,,,,0,,,,,,,,5,1,2010,60,306,19.6,A,2009,27,190,14.2,A,37,219,31,139,5,D,2,10,0
500000,Pierce College,9401 Farwest Drive Southwest,Lakewood,WA,984981919,Public,11528142,,11528142,1614,1929,5518707,4407,5442531,1451,1726,6219717,4043,6085611,,,,0,,11,11,66777,28,66231,,,,0,,,,,,,,5,1,2010,101,763,13.2,A,2009,87,684,12.7,A,101,762,0,1,5,D,9,10,0
500100,Edmonds Community College,20000 68th Avenue West,Lynnwood,WA,980365999,Public,7636026,,7636026,1309,1320,3697974,2926,3691673,1164,1171,3953137,2642,3944353,1,1,109,1,109,,,,0,,,,,0,,,,,,,,5,1,2010,107,527,20.3,A,2009,118,604,19.5,A,107,527,0,0,5,D,1,10,0
500600,Walla Walla Community College,500 Tausick Way,Walla Walla,WA,993629267,Public,7200194,,7200194,1114,1144,3483927,2856,3484923,1015,1041,3716760,2607,3715271,,,,0,,9,9,81763,20,81761,,,,0,,,,,,,,5,1,2010,119,510,23.3,A,2009,84,443,18.9,A,119,510,0,0,5,D,5,10,0
530600,Bates Technical College,1101 South Yakima Avenue,Tacoma,WA,984054895,Public,2428903,,2428903,524,579,1130124,1335,1129013,467,507,1301584,1175,1299890,,,,0,,18,19,96239,53,96135,,,,0,,,,,,,,5,1,2010,64,253,25.2,A,2009,53,215,24.6,A,64,253,0,0,5,D,6,10,0
537200,South Puget Sound Community College,2011 Mottman Road Southwest,Olympia,WA,985126292,Public,4206727,,4206727,763,823,2150188,1790,2139055,652,699,2078863,1530,2067672,,,,0,,,,,0,,,,,0,,,,,,,,5,1,2010,53,302,17.5,A,2009,39,210,18.5,A,47,263,9,75,5,D,3,10,0
537300,Lake Washington Institute of Technology,11605 - 132nd Avenue Northeast,Kirkland,WA,980348505,Public,6579541,,6579541,1010,1062,2996209,2317,2994769,913,954,3604306,2151,3584772,,,,0,,2,2,7795,4,7795,,,,0,,,,,,,,6,1,2010,53,321,16.5,A,2009,44,262,16.7,A,40,259,24,142,5,D,1,10,0
575200,Clover Park Technical College,"4500 Steilacoom Boulevard, Sw",Lakewood,WA,984994004,Public,9802520,,9802520,1579,1586,4790750,3666,4026044,1605,1611,7072418,3674,5776476,,,,0,,6,6,35784,14,35368,,,,0,,,,,,,,5,1,2010,157,762,20.6,A,2009,129,621,20.7,A,157,762,0,0,5,D,6,10,0
815500,The Evergreen State College,2700 Evergreen Parkway Northwest,Olympia,WA,985050002,Public,17153507,,17153507,2250,2448,9560098,5765,9378662,1822,2014,7924210,4599,7774845,203,241,3272034,589,3222312,287,327,4076831,775,3961694,22,28,139171,41,138945,,,,,,,8,1,2010,127,1181,10.7,A,2009,105,1123,9.3,A,127,1181,0,0,5,D,3,10,0
